genres,id,original_language,overview,popularity,production_countries,title,vote_average,vote_count,year,director
"Comedy, Drama",11898,English,"Louis Mazzini's mother belongs to the aristocratic family D'Ascoyne, but she ran away with an opera singer. Therefore, she and Louis were rejected by the D'Ascoynes. Once adult, Louis decides to avenges his mother and him, by becoming the next Duke of the family. Murdering every potential successor is clearly the safest way to achieve his goal.",9.753718,United Kingdom,Kind Hearts and Coronets,7.6,109.0,1949,Robert Hamer
Horror,26198,English,Nazis take over an ancient fortress that contains a mysterious entity that wreaks havoc and death upon them.,3.554491,United Kingdom,The Keep,5.9,56.0,1983,Michael Mann
"Drama, Romance",19542,English,"In this classic drama, Vicky Page is an aspiring ballerina torn between her dedication to dance and her desire to love. While her imperious instructor, Boris Lermontov, urges to her to forget anything but ballet, Vicky begins to fall for the charming young composer Julian Craster. Eventually Vicky, under great emotional stress, must choose to pursue either her art or her romance, a decision that carries serious consequences.",10.44551,United Kingdom,The Red Shoes,8.2,124.0,1948,Michael Powell
"Romance, Horror",33521,English,"Romanticized adaptation of Bram Stoker's 1897 classic. Set in 1913 England, the bloodsucking, but handsome, charming and seductive, Count Dracula seeks an immortal bride.",3.31004,"United Kingdom, United States of America",Dracula,6.4,49.0,1979,John Badham
Comedy,4593,French,"A surreal, virtually plotless series of dreams centered around six middle-class people and their consistently interrupted attempts to have a meal together.",4.8779,"France, Italy, Spain",The Discreet Charm of the Bourgeoisie,7.4,140.0,1972,Luis Buñuel
"Drama, Romance",12276,Chinese,"Prompted by the death of his father and the grief of his mother, a man recalls the story of how they met in flashback.",2.611492,China,The Road Home,7.7,52.0,1999,Zhang Yimou
Drama,3782,Japanese,"Kanji Watanabe is a middle-aged man who has worked in the same monotonous bureaucratic position for decades. Learning he has cancer, he starts to look for the meaning of his life.",7.843562,Japan,Ikiru,8.1,208.0,1952,Akira Kurosawa
"Foreign, Documentary",12722,English,"Documentary about war photographer James Nachtwey, considered by many the greatest war photographer ever.",0.937069,Switzerland,War Photographer,7.3,17.0,2001,Christian Frei
"Comedy, Drama, War",41806,Spanish,"Paulino and Carmela are husband and wife, troubadours touring the countryside during the Spanish Civil War. They are Republicans, and with their mute assistant, Gustavete, they journey into rebel territory by mistake. They are arrested, fear a firing squad, and receive a reprieve from an Italian Fascist commander who loves the theatre. He arranges a performance for his troops, bargaining with Paulino to stage a burlesque of the republic in exchange for the actors' freedom. Will the fiery and patriotic Carmela consent?",0.940509,"Italy, Spain","Ay, Carmela!",6.5,11.0,1990,Carlos Saura
"Drama, Romance",38304,French,"Serge is a long distance lorry driver between Morocco andEurope. In Tangier, he tries to reconcile with his former girlfriend, Sarah. She has refused to have anything to do with him since her mother’s death and intends to join her brother in Canada. Serge appeals to Sarah’s protector, a young Arab named Saïd, to allow him to meet up with Sarah, promising in return to smuggle Saïd into Europe...",0.060327,France,Far Away,7.0,1.0,2001,André Téchiné
"Drama, Science Fiction",20815,English,"In a dystopicly polluted rightwing religious tyranny, a young woman is put in sexual slavery on account of her now rare fertility.",3.163613,"Germany, United States of America",The Handmaid's Tale,5.8,31.0,1990,Volker Schlöndorff
"Comedy, Action, Drama, Romance",22200,English,"Dek, a decent but somewhat dull man, enjoys a happy existence with beloved girlfriend Shirley. They live together with her 12-year-old, Marlene: her daughter by the delinquent Jimmy, who flew the coop years ago and hasn't been heard from since. Dek loves Shirley so much that he proposes to her on national television.",1.32996,United Kingdom,Once Upon a Time in the Midlands,5.9,14.0,2002,Shane Meadows
"Drama, Romance, Thriller, Fantasy, Mystery, Horror",9616,English,"For centuries, a secret Order of priests has existed within the Church. A renegade priest, Father Alex Bernier, is sent to Rome to investigate the mysterious death of one of the Order's most revered members. Following a series of strangely similar killings, Bernier launches an investigation that forces him to confront unimaginable evil.",5.370818,"Germany, United States of America",The Order,4.8,93.0,2003,Brian Helgeland
"Comedy, Drama, Crime",1415,English,"The New York club scene of the 80s and 90s was a world like no other. Into this candy-colored, mirror ball playground stepped Michael Alig, a wannabe from nowhere special. Under the watchful eye of veteran club kid James St. James, Alig quickly rose to the top... and there was no place to go but down.",3.007842,"United States of America, Netherlands",Party Monster,5.9,60.0,2003,Fenton Bailey
"Drama, Romance, Foreign",38960,Swedish,"Martin, conductor of a symphonic orchestra, meet Barbara, violine player and they start a relationship. Five years later Martin starts to develop loss of memory and becomes more and more confused. Finally he is diagnosed with Alzheimer's disease and Barbara tries to help as much as possible although Martin is often angry and violent towards her.",0.156531,"Sweden, Sweden",A Song for Martin,6.5,3.0,2001,Bille August
"Drama, Romance",40775,English,"Based on Henry James's novel of the same name. This bittersweet tragicomedy centers on an odd triangle of characters: Basil Ransom, a political conservative from Mississippi; Olive Chancellor, Ransom's cousin and a Boston feminist; and Verena Tarrant, a pretty, young protégée of Olive's in the feminist movement. The storyline concerns the struggle between Ransom and Olive for Verena's allegiance and affection, though the film also includes a wide panorama of political activists, newspaper people, and quirky eccentrics.",0.182355,United Kingdom,The Bostonians,5.5,4.0,1984,James Ivory
"Comedy, Fantasy, Science Fiction",2687,English,"After a freak accident, an invisible yuppie runs for his life from a treacherous CIA official while trying to cope with his new life.",6.064099,"France, United States of America",Memoirs of an Invisible Man,5.7,127.0,1992,John Carpenter
"Drama, Romance",74585,Italian,"Prior to leaving by train for Paris, a married American woman tries to break off her affair with a young Italian in Rome's Stazione Termini.",0.895958,"Italy, United States of America",Indiscretion of an American Wife,5.3,8.0,1953,Vittorio De Sica
"Thriller, Science Fiction, Horror",28942,English,"A man tries to uncover an unconventional psychologist's therapy techniques on his institutionalized wife, while a series of brutal attacks committed by a brood of mutant children coincides with the husband's investigation.",9.445978,Canada,The Brood,6.6,138.0,1979,David Cronenberg
"Comedy, Romance",10739,English,"Jerry Falk, an aspiring writer in New York, falls in love at first sight with a free-spirited young woman named Amanda  He has heard the phrase that life is like ""anything else,"" but soon he finds that life with the unpredictable Amanda isn't like anything else at all.",11.10416,"France, United Kingdom, Netherlands",Anything Else,6.2,151.0,2003,Woody Allen
"Thriller, Mystery",12767,English,"Wanting to escape city life for the countryside, New Yorkers Cooper Tilson (Quaid), his wife Leah (Stone) and their two children move into a dilapidated old mansion still filled with the possessions of the previous family. Turning it into their dream house soon becomes a living nightmare when the previous owner (Dorff) shows up, and a series of terrifying incidents lead them on a spine-tingling search for clues to the estate's dark and lurid past",5.84474,"United Kingdom, United States of America, Canada",Cold Creek Manor,4.9,114.0,2003,Mike Figgis
Drama,38244,English,"A group of women, including Skipper, the wealthy young Jennifer and the domineering Nan, journey from the United States to South America in hopes of easily adopting children. Unfortunately, their plans are complicated by local laws that require the women to live in the foreign nation for an extended period before they can take in orphaned kids. While stuck in another country, the women bond as they share their aspirations and anxieties.",2.329471,"United States of America, Mexico",Casa de los Babys,5.6,8.0,2003,John Sayles
"Drama, Thriller, Mystery",24488,English,"Two corporations compete for illicit 3D manga pornography, sending spies to infiltrate each other's operations.",5.821242,France,Demonlover,5.7,13.0,2002,Olivier Assayas
"Crime, Thriller, Mystery, Horror",20321,English,"While treating a policewoman for smoking, hypnotherapist Michael Strother has a telepathic vision of a young girl floating beneath the surface of a stream. The escaped victim of a ritualistic serial killer, the girl has become mute, and Michael is called upon by Scotland Yard to unlock the secrets she holds in order to catch a man who believes he has discovered the key to immortality.",6.327386,"France, United Kingdom",Close Your Eyes,5.6,13.0,2002,Nick Willing
